stratum,level,model,guesser_model,games,length_mean,length_median,length_min,length_sd,loss_rate,length_mean_wins,opponent_mean,opponent_sd,civilian_mean,civilian_sd,rounds,clue_count_mean,clue_count_sd,guesses_mean,guesses_sd,stop_early_rate,n_early_eligible,stop_late_rate,n_late_eligible
all,all,google/gemini-2.5-flash,google/gemini-2.5-flash,537,7.221601489757914,7.0,1,2.8568552741276907,0.3370577281191806,8.47191011235955,2.5046554934823093,1.6741217129662875,2.25512104283054,1.4862858252540618,3878,2.1926250644662195,0.7162776483665967,1.746776689014956,0.605906511092119,0.05606728073688426,2497,0.11204481792717087,714
all,all,google/gemini-2.5-flash,meta-llama/llama-3.3-70b-instruct,519,7.007707129094412,7.0,1,3.577052876441222,0.626204238921002,9.123711340206185,2.9441233140655108,2.0398442177383873,2.7109826589595376,1.869614478689793,3637,2.260929337365961,0.7131828861966858,1.7783887819631565,0.7868874078935337,0.0,1945,0.9229422066549913,571
all,all,google/gemini-2.5-flash,openai/gpt-4o-mini,530,6.875471698113207,7.0,1,3.164005122628865,0.5113207547169811,8.498069498069498,2.9981132075471697,1.880653725986076,2.518867924528302,1.6784587182065192,3644,2.2379253567508233,0.7162133006958286,1.8644346871569704,0.7878139149601708,0.0022925263640531865,2181,0.9121405750798722,626
all,all,google/gemini-2.5-flash,qwen/qwen3.5-9b,528,10.340909090909092,11.0,1,4.901426110798122,0.6534090909090909,13.524590163934427,3.471590909090909,2.221839957394308,3.0132575757575757,1.9368136340581228,5460,2.258058608058608,0.7086459254611762,1.2796703296703296,0.5203221990295723,0.496218487394958,2380,0.22885572139303484,402
all,all,meta-llama/llama-3.3-70b-instruct,google/gemini-2.5-flash,540,7.779629629629629,8.0,1,3.576042714401544,0.4703703703703704,9.398601398601398,3.012962962962963,1.9572941733424958,2.5314814814814817,1.7091181935888538,4201,2.3810997381575816,0.9711136610453902,1.682694596524637,0.6365891059402041,0.06778276847692936,2449,0.16379310344827586,580
all,all,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,518,7.583011583011583,8.0,1,3.52825853941413,0.6351351351351351,9.507936507936508,3.312741312741313,2.0531317340778643,2.9034749034749034,1.7354945923357379,3928,2.455957230142566,0.9654564134533695,1.7331975560081467,0.7828033042625608,0.0,1978,0.8852140077821011,514
all,all,meta-llama/llama-3.3-70b-instruct,openai/gpt-4o-mini,538,7.520446096654275,8.0,1,3.4743741563454016,0.5892193308550185,9.2579185520362,3.362453531598513,2.079572349560011,2.8178438661710037,1.7646163740722443,4046,2.4105289174493327,0.9802892371180857,1.7933761739990113,0.7879284666732819,0.004066877541798464,2213,0.8754266211604096,586
all,all,meta-llama/llama-3.3-70b-instruct,qwen/qwen3.5-9b,539,10.311688311688311,11.0,1,5.163072405170601,0.7365491651205937,13.950704225352112,3.569573283858998,2.2740417328415488,3.061224489795918,2.0041683290448304,5558,2.476790212306585,0.9540934923726226,1.268441885570349,0.5145856582021344,0.5118110236220472,2286,0.25842696629213485,356
all,all,openai/gpt-4o-mini,google/gemini-2.5-flash,528,7.65719696969697,8.0,1,3.1559565835629377,0.4318181818181818,9.133333333333333,2.8882575757575757,1.801542243038707,2.515151515151515,1.6286563232078262,4043,2.358891911946574,0.829659235617434,1.693297056641108,0.6235697837206874,0.07028360049321825,2433,0.09245283018867924,530
all,all,openai/gpt-4o-mini,meta-llama/llama-3.3-70b-instruct,523,7.357552581261951,8.0,1,3.8422279783671307,0.6520076481835564,9.703296703296703,3.2065009560229445,2.178657314706115,2.887189292543021,1.9160264639247138,3848,2.443087318087318,0.8947084894925459,1.7385654885654886,0.7662962892958125,0.0,2071,0.9066339066339066,407
